id,title,thumbnail,short_description,game_url,genre,platform,publisher,developer,release_date,profile_url
1238,World of Tanks: HEAT,https://www.mmobomb.com/g/1238/thumbnail.jpg,A free-to-play PvP action game.,https://www.mmobomb.com/open/world-of-tanks-heat,Shooter,PC (Windows),Wargaming Group Limited,Wargaming Group Limited,2026-05-26,https://www.mmobomb.com/world-of-tanks-heat
1235,Neverness to Everness,https://www.mmobomb.com/g/1235/thumbnail.jpg,A free-to-play open-world supernatural urban adventure game with GTA vibes.,https://www.mmobomb.com/open/nte,RPG,PC (Windows),Perfect World Entertainment,Hotta Studio,2026-04-29,https://www.mmobomb.com/nte
1187,Throne and Liberty,https://www.mmobomb.com/g/1187/thumbnail.jpg,"NCSoft's next big MMORPG release goes global, guild sieges and all.",https://www.mmobomb.com/open/throne-and-liberty,MMORPG,PC (Windows),Amazon Games,NCSoft,2024-10-01,https://www.mmobomb.com/throne-and-liberty
1113,PUBG: Battlegrounds,https://www.mmobomb.com/g/1113/thumbnail.jpg,"Battle the odds in a 100v1 death match in PUBG: Battlegrounds, the classic free-to-play battle royale experience.",https://www.mmobomb.com/open/pubg,Shooter,PC (Windows),"KRAFTON, Inc.","KRAFTON, Inc.",2022-01-12,https://www.mmobomb.com/pubg
340,Game Of Thrones Winter Is Coming,https://www.mmobomb.com/g/340/thumbnail.jpg,"Fame and glory await you in Westeros, in Game of Thrones: Winter Is Coming, the officially licensed free-to-play browser game based on the epic fantasy series by George R.R. Martin.",https://www.mmobomb.com/open/game-of-thrones-winter-is-coming,Strategy,Web Browser,GTArcade,YOOZOO Games,2019-11-14,https://www.mmobomb.com/game-of-thrones-winter-is-coming
508,Enlisted,https://www.mmobomb.com/g/508/thumbnail.jpg,"Step into the most famous battles of World War II in Enlisted, a free-to-play shooter from the makers of War Thunder. Experience squad-based combat from the ground level, as you command your troops, outfitted with era-authentic weapons and gear, in massive battles with over a hundred soldiers apiece.",https://www.mmobomb.com/open/enlisted,Shooter,PC (Windows),Gaijin Entertainment,Darkflow Software,2021-04-08,https://www.mmobomb.com/enlisted
5,Crossout,https://www.mmobomb.com/g/5/thumbnail.jpg,"Trick out your ride and take to the post-apocalyptic roads for battle in Crossout, the free-to-play vehicular combat game from Gaijin Entertainment!",https://www.mmobomb.com/open/crossout,Shooter,PC (Windows),Targem,Gaijin,2017-05-30,https://www.mmobomb.com/crossout
2,World of Tanks,https://www.mmobomb.com/g/2/thumbnail2.jpg,"Created by the strategy masterminds at Wargaming, this is a MMO shooter with a lot of tactical elements to be taken into consideration.",https://www.mmobomb.com/open/world-of-tanks,Shooter,PC (Windows),Wargaming,Wargaming,2011-04-12,https://www.mmobomb.com/world-of-tanks
1239,Crystal Saga Nova,https://www.mmobomb.com/g/1239/thumbnail.jpg,A free-to-play browser-based fantasy MMORPG.,https://www.mmobomb.com/open/crystal-saga-nova,MMORPG,Web Browser,R2Games,R2Games,2026-05-26,https://www.mmobomb.com/crystal-saga-nova
9,World of Warships,https://www.mmobomb.com/g/9/thumbnail.jpg,World of Warships is a free-to-play 3D naval action MMO (developed by the team that created World of Tanks) based on epic sea battles of the 20th century. World of Warships will let players take control of a large selection of warships and wage naval war in scenarios based on the biggest boat battles of the 20th Century.,https://www.mmobomb.com/open/world-of-warships,Shooter,PC (Windows),Wargaming,Wargaming,2015-07-02,https://www.mmobomb.com/world-of-warships
1226,Where Winds Meet,https://www.mmobomb.com/g/1226/thumbnail.jpg,Open-world action-adventure RPG set in ancient China!,https://www.mmobomb.com/open/where-winds-meet,RPG,PC (Windows),NetEase Games,Everstone Studio,2025-11-14,https://www.mmobomb.com/where-winds-meet
1237,World of Sea Battle,https://www.mmobomb.com/g/1237/thumbnail.jpg,A free-to-play open-world MMORPG set in the Golden Age of Sail.,https://www.mmobomb.com/open/world-of-sea-battle,MMORPG,PC (Windows),Thera Interactive,Thera Interactive,2025-10-21,https://www.mmobomb.com/world-of-sea-battle
1170,THE FINALS,https://www.mmobomb.com/g/1170/thumbnail.jpg,"The world is watching and if you want to gain fans, you'll need to do more than just shoot your way to victory.",https://www.mmobomb.com/open/the-finals,Shooter,PC (Windows),Embark Studios,Embark Studios,2023-12-07,https://www.mmobomb.com/the-finals
1160,Palia,https://www.mmobomb.com/g/1160/thumbnail.jpg,"Get your cozy MMO on as you work to build your house, collect bugs, fish, and help out friends.",https://www.mmobomb.com/open/palia,MMORPG,PC (Windows),Singularity Six,Singularity Six,2023-08-10,https://www.mmobomb.com/palia
475,Genshin Impact,https://www.mmobomb.com/g/475/thumbnail.jpg,Explore a bright and fantastical anime-styled world in miHoYo's free-to-play online RPG Genshin Impact.,https://www.mmobomb.com/open/genshin-impact,Action RPG,PC (Windows),miHoYo,miHoYo,2020-09-28,https://www.mmobomb.com/genshin-impact
21,Destiny 2,https://www.mmobomb.com/g/21/thumbnail.jpg,"Embark on a heroic quest to save humanity in Bungie's epic sci-fi MMO shooter Destiny 2, now free-to-play.",https://www.mmobomb.com/open/destiny-2,Shooter,PC (Windows),Bungie,Bungie,2019-10-01,https://www.mmobomb.com/destiny-2
1140,Battle Arena,https://www.mmobomb.com/g/1140/thumbnail.jpg,Battle in PvP real time slap fights in a MOBA with some RPG elements.,https://www.mmobomb.com/open/battle-arena,Strategy,Web Browser,eSpirit Games,eSpirit Games,2017-12-05,https://www.mmobomb.com/battle-arena
12,War Thunder,https://www.mmobomb.com/g/12/thumbnail.jpg,"War Thunder is an MMO combat game dedicated to World War II military aviation, armored vehicles, and fleets.",https://www.mmobomb.com/open/war-thunder,Shooter,PC (Windows),Gaijin Entertainment,Gaijin Entertainment,2013-08-15,https://www.mmobomb.com/war-thunder
1242,Ragnarok: The New World,https://www.mmobomb.com/g/1242/thumbnail.jpg,"A free-to-play open-world, cross-platform games set in the Ragnarok universe.",https://www.mmobomb.com/open/ragnarok-the-new-world,MMORPG,PC (Windows),Gravity Game Vision Limited,Gravity Game Vision Limited,2026-07-27,https://www.mmobomb.com/ragnarok-the-new-world
1125,Tower of Fantasy,https://www.mmobomb.com/g/1125/thumbnail.jpg,"Tower of Fantasy brings the MMORPG experience to PC and mobile with a F2P, splashy, anime-esque style.",https://www.mmobomb.com/open/tower-of-fantasy,MMORPG,PC (Windows),Level Infinite,Hotta Studio,2022-08-10,https://www.mmobomb.com/tower-of-fantasy
452,Call of Duty: Warzone,https://www.mmobomb.com/g/452/thumbnail.jpg,"One of the most popular FPSes in the world is now a free-to-play battle royale: Call of Duty: Warzone. Strive to become the last squad standing in Battle Royale mode, where 150 players loot and shoot their way through an ever-shrinking battlefield; or complete contracts and try to escape with the most cash in Plunder mode.",https://www.mmobomb.com/open/call-of-duty-warzone,Shooter,PC (Windows),Activision,Infinity Ward,2020-03-10,https://www.mmobomb.com/call-of-duty-warzone
3,Warframe,https://www.mmobomb.com/g/3/thumbnail.jpg,"Warframe is a free to play sci-fi co-op 3rd-person shooter being developed by Digital Extremes, the makers of The Darkness 2.",https://www.mmobomb.com/open/warframe,Shooter,PC (Windows),Digital Extremes,Digital Extremes,2013-03-25,https://www.mmobomb.com/warframe
13,Guild Wars 2,https://www.mmobomb.com/g/13/thumbnail.jpg,Guild Wars 2 represents ArenaNet's attempt to turn MMO convention on its ears and create an engaging game for players of all skill levels and play styles.,https://www.mmobomb.com/open/guild-wars-2,MMORPG,PC (Windows),NCsoft,ArenaNet,2012-08-28,https://www.mmobomb.com/guild-wars-2
1223,Battlefield REDSEC,https://www.mmobomb.com/g/1223/thumbnail.jpg,"REDSEC is a free-to-play FPS built on Battlefield’s core mechanics, feautring Battle Royale, Gauntlet, and Portal game modes.",https://www.mmobomb.com/open/battlefield-redsec,Shooter,PC (Windows),Electronic Arts,Battlefield Studios,2025-10-28,https://www.mmobomb.com/battlefield-redsec
1205,Wuthering Waves,https://www.mmobomb.com/g/1205/thumbnail.jpg,Wuthering Waves is an open-world action RPG with a lot of freedom to explore. Players wake up as Rover and team up with powerful allies called Resonators to recover lost memories and help change the world.,https://www.mmobomb.com/open/wuthering-waves,RPG,PC (Windows),KURO GAMES,KURO GAMES,2025-04-28,https://www.mmobomb.com/wuthering-waves
1119,Flyff Universe,https://www.mmobomb.com/g/1119/thumbnail.jpg,Flyff Universe uses an updated graphics engine to merge some fan favorite features! Experience the Anime MMORPG anywhere through any browser.,https://www.mmobomb.com/open/flyff-universe,MMORPG,Web Browser,Gala Lab,SNIEGU Technologies,2022-06-14,https://www.mmobomb.com/flyff-universe
523,Lost Ark,https://www.mmobomb.com/g/523/thumbnail.jpg,Journey throughout the realm of Arkesia and do battle against a demon invasion in Smilegate's free-to-play ARPG Lost Ark!,https://www.mmobomb.com/open/lost-ark,ARPG,PC (Windows),Amazon Games,Smilegate,2022-02-11,https://www.mmobomb.com/lost-ark
466,Valorant,https://www.mmobomb.com/g/466/thumbnail.jpg,"Valorant is Riot Games' free-to-play competitive 5v5 tactical shooter, where you'll need strong gunplay and timely use of abilities to come out on top. Choose your character and participate in matches up to 25 rounds long, taking turns as attackers and defenders.",https://www.mmobomb.com/open/valorant,Shooter,PC (Windows),Riot Games,Riot Games,2020-06-02,https://www.mmobomb.com/valorant
467,Phantasy Star Online 2,https://www.mmobomb.com/g/467/thumbnail.jpg,"Phantasy Star Online 2 is a free to play 3D MMORPG published by SEGA. Based on the original Dreamcast and Gamecube series, Phantasy Star Online 2 offers players the chance to visit detailed worlds and fight hundreds of interesting enemies.",https://www.mmobomb.com/open/phantasy-star-online-2,MMORPG,PC (Windows),SEGA,SEGA,2020-05-27,https://www.mmobomb.com/phantasy-star-online-2
23,Apex Legends,https://www.mmobomb.com/g/23/thumbnail.jpg,Apex Legends is a free-to-play battle royale set in the Titanfall universe and taking place after the events of Titanfall 2.,https://www.mmobomb.com/open/apex-legends,Shooter,PC (Windows),Electronic Arts,Electronic Arts,2019-02-04,https://www.mmobomb.com/apex-legends
57,Fortnite,https://www.mmobomb.com/g/57/thumbnail.jpg,"Like other classic battle royale games, you'll be dropped into the world and forced to scavenge and survive.",https://www.mmobomb.com/open/fortnite-battle-royale,Shooter,PC (Windows),Epic Games,Epic Games,2017-09-26,https://www.mmobomb.com/fortnite-battle-royale
449,Albion Online,https://www.mmobomb.com/g/449/thumbnail.jpg,"Albion Online is a 3D sandbox MMORPG with player freedom being at the center of the game. Players will be able to claim land, build a house, gather resources, craft items which they can use or sell, and engage in Guild vs Guild or open world PVP.",https://www.mmobomb.com/open/albion-online,MMORPG,PC (Windows),Sandbox Interactive GmbH,Sandbox Interactive GmbH,2017-07-17,https://www.mmobomb.com/albion-online
1218,Hero Wars: Dominion Era,https://www.mmobomb.com/g/1218/thumbnail.jpg,A free-to-play browser MMORPG where players assemble teams of heroes to battle against powerful enemies.,https://www.mmobomb.com/open/hero-wars,MMORPG,Web Browser,Nexters,Nexters,2016-10-01,https://www.mmobomb.com/hero-wars
224,World of Warplanes,https://www.mmobomb.com/g/224/thumbnail.jpg,World of Warplanes is the flight combat MMO action game set in the Golden Age of military aviation. The game continues the armored warfare theme marked in World of Tanks and will throw players into a never-ending tussle for air dominance.,https://www.mmobomb.com/open/world-of-warplanes,Shooter,PC (Windows),Wargaming,Wargaming,2013-11-12,https://www.mmobomb.com/world-of-warplanes
225,RIFT,https://www.mmobomb.com/g/225/thumbnail.jpg,"Rift, a once Pay-to-play MMORPG now Free to Play by Trion Worlds is set in a world being torn apart by mystical energies.",https://www.mmobomb.com/open/rift,MMORPG,PC (Windows),Trion Worlds,Trion Worlds,2013-10-24,https://www.mmobomb.com/rift
257,Star Wars: The Old Republic,https://www.mmobomb.com/g/257/thumbnail.jpg,Star Wars: The Old Republic (SWTOR) is a free to play 3D Sci-Fi MMORPG based on the popular Star Wars universe.,https://www.mmobomb.com/open/swtor,MMORPG,PC (Windows),Electronic Arts,Bioware,2011-12-20,https://www.mmobomb.com/swtor
320,Dungeons and Dragons Online,https://www.mmobomb.com/g/320/thumbnail.jpg,Dungeons & Dragons Online (DDO) is a free-to-play 3D Fantasy MMORPG based on the classic Dungeons and Dragons (D&D) tabletop role playing game.,https://www.mmobomb.com/open/dungeons-dragons-online,MMORPG,PC (Windows),Warner Bros. Interactive,"Turbine, Inc.",2006-02-28,https://www.mmobomb.com/dungeons-dragons-online
251,The Lord of the Rings Online,https://www.mmobomb.com/g/251/thumbnail.jpg,The Lord of the Rings Online (LOTRO) is a free-to-play massively multiplayer online roleplaying game based on the books of J.R.R. Tolkien.,https://www.mmobomb.com/open/lotro,MMORPG,PC (Windows),Warner Bros. Interactive Entertainment,"Turbine, Inc.",2001-04-24,https://www.mmobomb.com/lotro
433,RuneScape,https://www.mmobomb.com/g/433/thumbnail.jpg,"RuneScape is one of the most popular free-to-play Browser MMORPG, from the British development studio Jagex. Set in a detailed, medieval fantasy world of epic scale both geographically and historically, RuneScape proudly draws its inspiration from classic role-playing games to deliver a contemporary, innovative and original experience for millions of players across the globe, with a popular subscription option of even greater scale and ambition, both running directly within almost any computer’s browser.",https://www.mmobomb.com/open/runescape,MMORPG,"PC (Windows), Web Browser",Jagex,Jagex,2001-01-04,https://www.mmobomb.com/runescape
350,Goodgame Empire,https://www.mmobomb.com/g/350/thumbnail.jpg," Goodgame Empire is a browser-based MMO Strategy game by Goodgame Studios. Design and build your own Medieval castle, create a powerful army, and fight against other players on a dynamic world map as you attempt to conquer the four kingdoms and unite them under your rule.",https://www.mmobomb.com/open/goodgame-empire,Strategy,Web Browser,Goodgame Studios,Goodgame Studios,2011-08-14,https://www.mmobomb.com/goodgame-empire
1191,Brighter Shores,https://www.mmobomb.com/g/1191/thumbnail.jpg,"If you are a Runescape fan, you may want to check out the latest MMORPG project from its creator.",https://www.mmobomb.com/open/brighter-shores,MMORPG,PC (Windows),Fen Research LTD,Fen Research LTD,2024-11-06,https://www.mmobomb.com/brighter-shores
1118,Diablo Immortal,https://www.mmobomb.com/g/1118/thumbnail.jpg,Diablo Immortal is an all-new massively multiplayer online action RPG and Blizzard’s long advertised mobile Diablo experience (that totally was not coming to PC) comes to PC complete with all the demon slaying and looting you could want.,https://www.mmobomb.com/open/diablo-immortal,MMOARPG,PC (Windows),Activision Blizzard,Blizzard Entertainment,2022-06-02,https://www.mmobomb.com/diablo-immortal
519,Halo Infinite,https://www.mmobomb.com/g/519/thumbnail.jpg,Step into the boots of a fresh Spartan and fight for galactic supremacy in free-to-play Halo Infinite Multiplayer,https://www.mmobomb.com/open/halo-infinite,Shooter,PC (Windows),Xbox Game Studios,343 Industries,2021-11-15,https://www.mmobomb.com/halo-infinite
310,Team Fortress 2,https://www.mmobomb.com/g/310/thumbnail.jpg,"One of the most popular online games of all time, TF2 delivers constant free updates and most importantly, hats.",https://www.mmobomb.com/open/team-fortress-2,Shooter,PC (Windows),Valve,Valve,2007-10-10,https://www.mmobomb.com/team-fortress-2
1243,Soul's Remnant,https://www.mmobomb.com/g/1243/thumbnail.jpg,A free-to-play indie 2D platformer MMORPG.,https://www.mmobomb.com/open/souls-remnant,MMORPG,PC (Windows),Chaomoon,Chaomoon,2026-08-13,https://www.mmobomb.com/souls-remnant
1240,Gloria Victis,https://www.mmobomb.com/g/1240/thumbnail.jpg,A free-to-play medieval open-world MMORPG from gamigo.,https://www.mmobomb.com/open/gloria-victis,MMORPG,PC (Windows),Gamigo,Gamigo,2026-06-17,https://www.mmobomb.com/gloria-victis
1241,RF Online Next,https://www.mmobomb.com/g/1241/thumbnail.jpg,A Sci-Fi MMORPG in which machines have taken over.,https://www.mmobomb.com/open/rf-online-next,MMORPG,PC (Windows),Netmarble,Netmarble,2026-06-15,https://www.mmobomb.com/rf-online-next
